time old	time	flow (L/s)	raw (NTU)	sed (NTU)	filter 1 (NTU)	filter 2 (NTU)	filter (NTU)	coag (mg/L)	Cl (mg/L)	Temperature
2/29/2016 11:20	42429.47	16.5	2.12	0.4	0	0	0	10.12	1.1	16
2/29/2016 12:00	42429.50	17	1.96	0.25	0	0	0	9.91	1.01	17
3/1/2016 12:00	42430.50	18	2.03	0.4	0	0	0	8.72	1.1	17
3/1/2016 18:25	42430.77	17	2.18	0.34	0	0	0	9.79	0.93	17
3/1/2016 23:50	42430.99	17	2	0.2	0	0	0	9.93	0.98	17
3/2/2016 11:00	42431.46	17	1.9	0.32	0	0	0	7.19	1.15	17
3/2/2016 18:20	42431.76	17	1.91	0.55	0.1	0.08	0.09	5.41		17
3/2/2016 23:50	42431.99	17	2.1	0.4	0	0	0	5.1	1	17
3/3/2016 12:40	42432.53	17	1.87	0.63	0.15	0.09	0.12	5.44	1.1	17
3/3/2016 23:00	42432.96	18	2.01	0.51	0.05	0.03	0.04	6.05	0.9	17
3/4/2016 11:34	42433.48	17	1.54	0.28	0		0	7.61		18
3/4/2016 17:50	42433.74	14	2.48	0.87	0.17	0	0.085	14.84	1	22
3/4/2016 18:30	42433.77	17	1.72	0.4	0	0	0	7.81	1	18
3/4/2016 23:00	42433.96	17	2	0.55	0	0	0	7.44	1.1	18
3/5/2016 11:45	42434.49	17	2.06	0.86	0.24	0.3	0.27	9.35	1.07	18
3/6/2016 5:10	42435.22	17	1.77	0.32	0	0	0	9.87	1.15	
3/6/2016 18:30	42435.77	17	2	0.22	0	0	0	10.44	1.05	18
3/6/2016 23:00	42435.96	17	2.08	0.3	0	0	0	10.12	1.08	18
3/7/2016 11:50	42436.49	15	1.79	0.5	0	0	0	10.23	1.03	18
3/8/2016 6:00	42437.25	17	2.1	0.33	0	0	0	7.81	1.15	18
3/8/2016 11:30	42437.48	18	2.23	0.4	0	0	0	6.96	0.93	18
3/8/2016 23:00	42437.96	16	1.98	0.34	0	0	0	6.53	1.15	19
3/9/2016 11:50	42438.49	17	2.37	0.92	0.6	0.51	0.555	7.18	1	18
3/9/2016 17:45	42438.74	16	1.9	0.45	0	0	0	6.97		19
3/9/2016 23:45	42438.99	16	2	0.53	0	0.1	0.05	6.82	1.15	19
